nomclient,venteestimesupport2021,venteestimesupport2022,venteestimesupport2023,ventehorssupport2021,ventehorssupport2022,ventehorssupport2023,ventehorssupport202,dealconclusupport,VenteConclusupport2021,VenteConclusupport2022,VenteConclusupport2023,Upsale,Crossale,Nombre_Employe,OpenDeals,Secteur_Activite,DealConclu2021,DealConclu2022,DealConclu2023,Moved,Technologie,Support2023,annéedernierContact,moisdernierContact,annéeCreation,moisCreation,Support02021,nbredealsupport02021,Support02022,nbredealsupport02022,Support02023,nbredealsupport02023,Support12021,nbredealsupport12021,Support12022,nbredealsupport12022,Support12023,nbredealsupport12023,Support22021,nbredealsupport22021,Support22022,nbredealsupport22022,Support22023,nbredealsupport22023,Support32021,nbredealsupport32021,Support32022,nbredealsupport32022,Support32023,nbredealsupport32023,predicted,predictedsupport1,predictedsupport2,predictedUpsale
STB INVEST,0.0,0.0,0.0,0.0,12875.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STE IOWAVES,0.0,0.0,0.0,297.72,1488.6,1786.32,0.0,0.0,0.0,0.0,0.0,0,0,50,3,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,9.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STIAL DELICE DANONE,0.0,12264.0,0.0,5974.0,152721.6,403529.7,0.0,0.1818181818181818,0.0,0.0,0.0,0,0,1000,11,59,0.0,2.0,0.0,0.0,228670006.0,0,2023.0,3.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
STUDI,0.0,0.0,0.0,126400.0,132339.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,4,15,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPCOM,0.0,104956.0,0.0,0.0,108340.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,243,6,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,10.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWICORP K.S.A,7846.05,10302.0,0.0,3103.46,28321.05,14831.23,0.0,0.25,0.0,0.0,0.0,0,1,105,8,65,0.0,2.0,0.0,1.0,228670005.0,0,2023.0,3.0,2021,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Saiph,0.0,0.0,0.0,0.0,104436.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,388,1,12,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serept,0.0,49680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,200,2,17,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergaz,0.0,0.0,0.0,0.0,43771.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,2,17,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakira Cable,0.0,0.0,0.0,0.0,296.0,23620.0,0.0,0.0,0.0,0.0,0.0,0,0,500,2,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,5.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slama groupe,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,10.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart Systeme,0.0,0.0,25656.32,0.0,0.0,105656.32,0.0,0.0,0.0,0.0,0.0,0,0,50,4,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,4.0,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smartfarm,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,9.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Société MARAM COMPANY,0.0,0.0,0.0,5706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,8.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Société Port Enfidha,0.0,0.0,9480.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,3,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Société nationale de distribution des pétroles,0.0,10000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5000,2,17,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofrecom TUNISIE,17880.0,18160.0,0.0,0.0,350565.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1068,11,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2021,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonabel,0.0,0.0,56700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,15,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sotulub,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,93,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,2.0,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport Cities International Tunis,0.0,0.0,0.0,1274.0,1337.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,8,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sté LCC,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,12,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sté des Foires Internationales,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumiriko,0.0,0.0,0.0,0.0,2635.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,1,4,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THG,0.0,0.0,0.0,0.0,26100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1,12,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,8.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIB- Tunis International Bank-,39800.0,33094.0,98294.0,23020.0,112563.0,294882.0,0.0,0.1666666666666666,0.0,0.0,0.0,0,1,200,12,65,1.0,1.0,0.0,1.0,228670012.0,0,2023.0,3.0,2021,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIFERT,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMI,0.0,3382.5,137496.81,3402.0,0.0,137496.81,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,50,6,55,0.0,2.0,0.0,0.0,228670006.0,0,2023.0,9.0,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1
TOPIC,3450.0,29038.0,1750.0,1800.0,69998.39,110662.52,0.0,0.3333333333333333,0.0,0.0,1750.0,0,0,200,21,17,1.0,5.0,1.0,1.0,228670012.0,1,2023.0,3.0,2021,7,0,0,1,1,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TOPNET,23516.45,24439.52,20238.58,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,5283.94,0,0,1356,11,8,1.0,5.0,1.0,0.0,228670012.0,1,2023.0,11.0,2021,9,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPS,59285.2,0.0,24200.0,59285.2,0.0,74200.0,0.0,0.0,0.0,0.0,0.0,0,0,200,9,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,9.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRANSSION HOLDING,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1797,1,8,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRANSVET,0.0,0.0,0.0,449.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUNINVEST FINANCE GROUP,4983.06,25264.68,26900.0,6325.0,50580.24000000001,32994.43,0.0,0.2352941176470588,0.0,0.0,0.0,0,1,150,17,65,0.0,4.0,0.0,1.0,228670012.0,0,2023.0,6.0,2021,7,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUNISIE TELECOM,0.0,300.0,9306.0,21771.0,37021.0,1007206.0,0.0,0.0714285714285714,0.0,0.0,0.0,0,1,5000,14,8,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,9.0,2021,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topoplus,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,15,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,8.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transnumerik,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisair,0.0,31220.33,0.0,0.0,117935.66,1500000.0,0.0,0.1666666666666666,0.0,0.0,0.0,0,0,5000,6,15,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,6.0,2021,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisian Saudi Bank - TSB,0.0,27428.7,0.0,0.0,69914.85,136551.72,68275.86,0.4444444444444444,0.0,0.0,0.0,0,0,400,9,65,0.0,4.0,0.0,1.0,228670006.0,0,2024.0,11.0,2021,7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Tunisie Autoroute,0.0,0.0,471000.0,0.0,0.0,187000.0,0.0,0.0,0.0,0.0,0.0,0,1,150,5,15,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2022,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisie Place Marché S.A,11986.04,20000.0,0.0,11986.04,20000.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,50,4,4,1.0,1.0,0.0,0.0,228670012.0,0,2022.0,9.0,2021,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyna soft,0.0,0.0,0.0,0.0,6139.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB IRDT,0.0,9000.0,9000.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,100,2,15,0.0,1.0,0.0,0.0,228670012.0,0,2023.0,4.0,2022,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB VIE,0.0,4725.0,0.0,0.0,25800.0,1600.0,0.0,0.25,0.0,0.0,0.0,0,0,200,4,65,0.0,1.0,0.0,0.0,228670005.0,0,2023.0,3.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
UBCI,60000.0,132074.5,72650.0,1486427.6,3735342.18,1280000.0,0.0,0.2962962962962963,0.0,0.0,8400.0,0,1,10000,27,65,1.0,6.0,1.0,1.0,228670004.0,1,2023.0,7.0,2021,7,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0
UIB,0.0,20700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,2,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMANLINK,0.0,0.0,0.0,0.0,0.0,55143.1,0.0,0.0,0.0,0.0,0.0,0,0,500,2,15,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIFACTOR,0.0,7900.6,3950.0,30241.88,107260.2,57872.7,0.0,0.2142857142857142,0.0,7900.6,3950.0,0,1,50,14,15,0.0,2.0,1.0,0.0,228670012.0,1,2023.0,6.0,2021,7,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UNIMED,0.0,27090.0,665153.0,6726.0,263517.0,2665916.0,0.0,0.1071428571428571,0.0,12900.0,13674.0,0,1,500,28,12,0.0,2.0,1.0,0.0,228670012.0,1,2023.0,6.0,2021,9,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
URS Federal Service International,0.0,1237422.27,415807.0,0.0,1239992.69,718807.96,0.0,0.2105263157894736,0.0,86249.45,0.0,0,1,50,19,15,0.0,4.0,0.0,1.0,228670006.0,0,2023.0,4.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3,1,2,0,0,1,0
UTIC,0.0,0.0,0.0,5525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,483,1,20,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,11.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Financière,0.0,0.0,0.0,0.0,25529.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Université central,0.0,3000.0,9800.0,0.0,49530.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,3,16,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VITALAIT,0.0,17200.0,0.0,29936.0,0.0,76640.0,0.0,0.2,0.0,5400.0,0.0,0,0,1000,5,59,0.0,1.0,0.0,0.0,228670006.0,0,2023.0,6.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
VIVO ENERGY Tunisie,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,10.0,2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valorflakes,0.0,0.0,0.0,0.0,21979.42,6280.4,0.0,0.0,0.0,0.0,0.0,0,0,50,6,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valpaint,0.0,0.0,0.0,14838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,6.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vectorys,0.0,0.0,0.0,0.0,0.0,413053.13,0.0,0.0,0.0,0.0,0.0,0,0,460,9,6,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIC,14900.0,23900.0,0.0,96494.56,68850.0,45909.64,0.0,0.1153846153846153,14900.0,23900.0,0.0,0,0,1000,26,59,0.0,3.0,0.0,0.0,228670012.0,0,2023.0,6.0,2021,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WIFAK BANK,4463.18,317581.36,338730.0,303447.69,1467099.0,452748.82,0.0,0.2727272727272727,4463.18,18119.36,4730.0,0,1,500,22,65,1.0,4.0,1.0,0.0,228670012.0,1,2023.0,6.0,2021,7,0,0,0,0,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
World Freight Service,8452.0,58283.6,0.0,8238.0,76097.0,138461.6,0.0,0.2580645161290322,8452.0,54764.6,0.0,0,1,50,31,6,0.0,8.0,0.0,1.0,228670012.0,0,2023.0,3.0,2021,7,0,0,1,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xtensus,0.0,0.0,0.0,0.0,28795.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZITOUNA TAKAFUL,3685.0,32955.8,251748.64,30435.0,459370.0,190000.0,0.0,0.3571428571428571,3685.0,0.0,9562.16,0,1,157,28,65,1.0,7.0,2.0,1.0,228670012.0,1,2023.0,10.0,2021,9,0,0,1,3,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ZITOUNA TAMKEEN,0.0,0.0,0.0,95144.0,0.0,8728.0,0.0,0.0,0.0,0.0,0.0,0,0,238,2,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,5.0,2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZODIAC EQUIPEMENTS TUNISIE,0.0,0.0,0.0,1792.0,26259.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,250,3,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,7.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zitouna Capital,7866.0,7738.0,0.0,21447.92,6531.5,4202.5,0.0,0.0666666666666666,7300.0,7738.0,0.0,0,1,30,15,65,0.0,1.0,0.0,0.0,228670012.0,0,2023.0,2.0,2021,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrefour,0.0,6000.0,5600.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6000.0,0.0,0,0,5000,3,20,0.0,2.0,0.0,0.0,228670004.0,0,2023.0,3.0,2022,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
centre d'etudes et de recherches des télécommunications,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,8.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iset MAhdia,0.0,56000.0,0.0,0.0,565000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,150,4,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keystone,0.0,14700.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,37,4,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,2.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsat Nokia,0.0,0.0,0.0,0.0,127109.0,12000.0,0.0,0.0,0.0,0.0,0.0,0,0,100,5,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polebizerte,0.0,0.0,0.0,3232.0,3456.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sagemcom,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4470,2,8,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
universite virtuelle de tunis,0.0,0.0,0.0,0.0,289000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,106,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorys,0.0,18760.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,458,9,6,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,8.0,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vernicolor,0.0,8280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,3,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zitouna finance,4380.0,4642.8,0.0,0.0,3152.0,3815.0,0.0,0.1666666666666666,4380.0,4642.8,0.0,0,0,10,6,65,0.0,1.0,0.0,0.0,228670012.0,0,2023.0,3.0,2021,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
École nationale d'administration,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
